reccount,polno,state,effdate,expdate,polage,cancel,reinstate,lapse,poltype,vehtype,deluxmulti,color,year,milecat,size,power,V96,deduct,county,limit,prem,incloss,claimct
217589,WEN9993778  ,AZ,20141223,20151223,6,0,1,1,delux,full,No,White,1960,1,2012,1,               ,2500,95,100,1043,0,0
217610,WEN9993792  ,AZ,20141218,20151218,6,0,0,0,delux,stand,No,White,1995,4,1404,1,O              ,1000,5,25,1370,0,0
217617,WEN9993793  ,AZ,20141215,20151215,6,0,1,1,delux,full,No,White,1992,3,1983,1,G              ,2500,115,100,2834,0,0
217636,WEN9993797  ,AZ,20141218,20151218,6,0,0,0,delux,full,No,White,1998,5,2381,1,H              ,2500,9,500,3034,0,0
217669,WEN9993812  ,AZ,20141125,20151125,6,0,0,0,delux,full,No,White,1991,4,2171,0,               ,1000,95,100,1434,0,0
217676,WEN9993813  ,AZ,20141218,20151218,6,0,0,0,delux,full,No,White,1993,9,1353,0,G              ,1000,9,25,1797,0,0
217685,WEN9993815  ,AZ,20141219,20151219,6,0,0,0,delux,full,No,White,1979,4,1200,1,               ,2500,81,100,1934,0,0
217693,WEN9993817  ,AZ,20141220,20151220,6,0,1,1,delux,stand,No,White,1978,5,1434,0,G              ,1000,109,100,1631,0,0
217700,WEN9993819  ,AZ,20141121,20151121,6,0,1,1,delux,full,No,Blue,1995,4,1800,0,G              ,1000,71,500,3012,0,0
217711,WEN9993822  ,AZ,20141121,20151121,6,0,1,1,delux,stand,No,White,1975,6,1620,0,H              ,1000,45,100,2021,0,0
217719,WEN9993825  ,AZ,20141126,20151126,6,0,3,3,delux,full,No,White,1959,4,1176,0,G              ,1000,9,25,1337,0,0
217726,WEN9993826  ,AZ,20141124,20151124,6,0,1,1,delux,stand,No,White,1987,4,1649,0,               ,1000,81,100,3765,0,0
217735,WEN9993828  ,AZ,20141120,20151120,6,0,0,0,delux,full,No,White,1960,5,1824,0,G              ,2500,9,100,1788,0,0
217744,WEN9993831  ,AZ,20141203,20151203,6,0,0,0,delux,full,No,White,1980,4,2620,0,O              ,2500,81,500,2325,0,0
217763,WEN9993838  ,AZ,20141124,20151124,6,0,0,0,delux,full,No,White,1965,4,1152,0,               ,1000,5,25,1717,0,0
217776,WEN9993841  ,AZ,20141124,20151124,6,0,1,2,delux,stand,No,White,1942,4,1480,1,               ,2500,5,100,2748,0,0
217790,WEN9993845  ,AZ,20141121,20151121,6,0,1,1,delux,full,No,White,1981,5,1634,0,H              ,1000,109,100,795,0,0
217797,WEN9993846  ,AZ,20141124,20151124,6,0,1,1,stand,full,stand,Red,1998,4,1633,0,               ,1000,71,25,1612,0,0
217805,WEN9993848  ,AZ,20141120,20151120,6,0,1,1,delux,full,No,White,1964,4,1620,0,G              ,1000,127,100,2192,0,0
217813,WEN9993850  ,AZ,20141210,20151210,6,1,2,0,delux,econ,No,White,1962,4,1943,0,               ,2500,5,100,1813,0,0
217832,WEN9993857  ,AZ,20141120,20151120,6,0,1,2,delux,full,No,White,1962,4,1254,0,G              ,1000,127,25,1432,0,0
217847,WEN9993863  ,AZ,20141121,20151121,6,0,0,0,delux,stand,No,White,1989,5,1475,1,               ,1000,109,100,2192,0,0
217855,WEN9993865  ,AZ,20141204,20151204,6,0,0,0,delux,stand,No,White,1980,6,1586,1,G              ,2500,5,100,2183,0,0
217862,WEN9993866  ,AZ,20141208,20151208,6,1,3,1,delux,full,No,White,1976,2,3500,1,G              ,1000,99,1000,11406,0,0
217869,WEN9993867  ,AZ,20141126,20151126,6,0,0,0,delux,stand,No,White,2004,5,1094,0,H              ,1000,51,25,734,0,0
217873,WEN9993871  ,AZ,20141121,20151121,6,1,2,0,delux,stand,No,White,1942,6,1066,0,               ,1000,5,25,1725,0,0
217889,WEN9993877  ,AZ,20141121,20151121,6,0,0,0,delux,full,No,White,1953,2,1266,0,H              ,2500,103,25,1553,0,0
217900,WEN9993879  ,AZ,20141201,20151201,6,0,0,0,delux,full,No,White,1988,3,1756,0,G              ,1000,71,500,1931,0,0
217907,WEN9993881  ,AZ,20141126,20151126,6,0,1,1,delux,full,No,White,1948,3,1020,0,H              ,1000,71,25,1545,0,0
217916,WEN9993883  ,AZ,20141208,20151208,6,0,1,1,delux,full,No,White,1969,2,952,0,               ,1000,103,25,2462,0,0
217931,WEN9993887  ,AZ,20141210,20151210,6,0,1,1,delux,full,No,White,1977,4,1990,1,G              ,2500,9,100,2199,0,0
